revision;fpOrderingMergeScenarios;fpRenamingMergeScenarios;fnDuplicationMergeScenarios;fnImportMergeScenarios;textualConfUnmerge;textualConfSsmerge;fpOrderingConf;fpRenamingConf;fnDuplicationMissed;fnImportMissed;fpRenamingConfDup;fpConsLines;fpSpacing;fpConsSpac;fpRenamingConfDupMergeScenarios;fpConsLinesMergeScenarios;fpSpacingMergeScenarios;fpConsSpacMergeScenarios;fnNewArtRefOldOneMergeScnarios;fnNewArtRefOldOneConf;fnInitializationBlocks;fnInitializationBlocksMergeScnarios;fnAcidental;fnAcidentalScenarios;crosscutingConflicts;crosscutingScenarios;equalConfs
/home/arthur/analysis/projects/okio/revisions/rev_c01603c_bece94f/rev_c01603c-bece94f.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_be1a793_fabf65f/rev_be1a793-fabf65f.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_c90ca7c_5519d0c/rev_c90ca7c-5519d0c.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201.revisions;1;1;0;0;9;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;1;0
/home/arthur/analysis/projects/java/revisions/rev_4355ac0_e7be17c/rev_4355ac0-e7be17c.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_c60f017_69e778f/rev_c60f017-69e778f.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_eab45de_6a46435/rev_eab45de-6a46435.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_d64036c_8c665e3/rev_d64036c-8c665e3.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_afe1f1f_10d0fae/rev_afe1f1f-10d0fae.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_7fd0b96_c8b050c/rev_7fd0b96-c8b050c.revisions;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_39d34e2_e9fc494/rev_39d34e2-e9fc494.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_809f3b3_0b2cafb/rev_809f3b3-0b2cafb.revisions;1;1;0;0;20;8;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;2;1;6
/home/arthur/analysis/projects/java/revisions/rev_5ec6279_afe1b59/rev_5ec6279-afe1b59.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_5cb7b6d_b8f5c90/rev_5cb7b6d-b8f5c90.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_f10f05a_3711b16/rev_f10f05a-3711b16.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_e99aaa4_8c665e3/rev_e99aaa4-8c665e3.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_29aec9b_e8cbadb/rev_29aec9b-e8cbadb.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_2d01a1f_c8ead9b/rev_2d01a1f-c8ead9b.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_e02a05b_2ee88fb/rev_e02a05b-2ee88fb.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_fb79d5b_80fb50e/rev_fb79d5b-80fb50e.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_c449d90_5902c6a/rev_c449d90-5902c6a.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_2253051_2ebcb1b/rev_2253051-2ebcb1b.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_422f23a_dec40bc/rev_422f23a-dec40bc.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_bb4c290_88b2592/rev_bb4c290-88b2592.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_8362c79_78c1989/rev_8362c79-78c1989.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_611bd3c_54cbd65/rev_611bd3c-54cbd65.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_15db37e_d38204d/rev_15db37e-d38204d.revisions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
