revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_d64036c_8c665e3/rev_d64036c-8c665e3.revisions;308;169;0;169;0;139;139;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_afe1f1f_10d0fae/rev_afe1f1f-10d0fae.revisions;60;51;0;51;0;9;9;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_7fd0b96_c8b050c/rev_7fd0b96-c8b050c.revisions;2493;616;0;616;0;1877;1836;1;40;0;1;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_39d34e2_e9fc494/rev_39d34e2-e9fc494.revisions;193;128;0;128;0;65;65;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_809f3b3_0b2cafb/rev_809f3b3-0b2cafb.revisions;170;95;0;95;0;75;68;7;0;8;20;6;0
/home/arthur/analysis/projects/java/revisions/rev_5ec6279_afe1b59/rev_5ec6279-afe1b59.revisions;932;636;0;636;0;296;296;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_5cb7b6d_b8f5c90/rev_5cb7b6d-b8f5c90.revisions;258;127;0;127;0;131;131;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_f10f05a_3711b16/rev_f10f05a-3711b16.revisions;153;54;0;54;0;99;99;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_e99aaa4_8c665e3/rev_e99aaa4-8c665e3.revisions;308;169;0;169;0;139;139;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_29aec9b_e8cbadb/rev_29aec9b-e8cbadb.revisions;60;51;0;51;0;9;9;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_2d01a1f_c8ead9b/rev_2d01a1f-c8ead9b.revisions;2453;616;0;616;0;1837;1837;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_e02a05b_2ee88fb/rev_e02a05b-2ee88fb.revisions;194;128;0;128;0;66;66;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_fb79d5b_80fb50e/rev_fb79d5b-80fb50e.revisions;934;638;0;638;0;296;295;1;0;0;0;0;0
